id,entity_name,entity_description,entity_name_embedding,description_embedding,combined_embedding,dbscan_labels,agg_labels,final_cluster
7354,ResponseFlag,Indicates if drugs were used in the respondent's lifetime (absence of use).,"[-0.01097709  0.0060817  -0.05922522 ...  0.00813896 -0.00861198
 -0.0007696 ]","[-0.03327755  0.01277528 -0.00681906 ... -0.01305861 -0.01689634
  0.01271733]","[-0.01097709  0.0060817  -0.05922522 ... -0.01305861 -0.01689634
  0.01271733]",43,3,DBSCAN_43_AGG_3
7355,ResponseFlag,Indicates if drugs were used in the respondent's lifetime (absence of use).,"[-0.01098773  0.00608343 -0.05918201 ...  0.00812626 -0.00860693
 -0.00077498]","[-0.03327755  0.01277528 -0.00681906 ... -0.01305861 -0.01689634
  0.01271733]","[-0.01098773  0.00608343 -0.05918201 ... -0.01305861 -0.01689634
  0.01271733]",43,3,DBSCAN_43_AGG_3
7356,SubstanceUseTreatment,Received Substance Use Treatment in the past year.,"[-0.05270708  0.01166422 -0.01996566 ... -0.00120388 -0.06297836
  0.02193549]","[-0.05919965 -0.00760288 -0.02282217 ... -0.02870696 -0.0405036
  0.03438883]","[-0.05270708  0.01166422 -0.01996566 ... -0.02870696 -0.0405036
  0.03438883]",0,31,DBSCAN_0_AGG_31
7357,SubstanceUseTreatmentHistory,Indicator of having received substance use treatment.,"[-0.04060476 -0.00966294 -0.00264346 ... -0.00983055 -0.06092171
 -0.01104753]","[-0.01200393 -0.00751525 -0.02073273 ... -0.00812934 -0.04313226
  0.0227212 ]","[-0.04060476 -0.00966294 -0.00264346 ... -0.00812934 -0.04313226
  0.0227212 ]",0,31,DBSCAN_0_AGG_31
7358,AlcoholTreatment,Indicator of having received treatment for alcohol use.,"[-0.04552804  0.03881726  0.00384554 ...  0.0045857  -0.0072437
 -0.00464491]","[-0.00202935  0.00187298 -0.00843358 ... -0.00863291 -0.01817309
  0.01246823]","[-0.04552804  0.03881726  0.00384554 ... -0.00863291 -0.01817309
  0.01246823]",0,27,DBSCAN_0_AGG_27
7359,DrugTreatment,Indicator of having received treatment for drug use.,"[-0.02012144  0.0386696   0.00268941 ...  0.00502001 -0.02158432
 -0.00090912]","[ 0.00433069 -0.00638664 -0.01894807 ... -0.01392628 -0.02850546
  0.01258574]","[-0.02012144  0.0386696   0.00268941 ... -0.01392628 -0.02850546
  0.01258574]",0,16,DBSCAN_0_AGG_16
7360,InpatientTreatment,Indicator of having received inpatient treatment for substance use in the past year.,"[-0.03366398  0.02995546  0.00643115 ... -0.00690778  0.00479235
 -0.01611379]","[-0.04634471  0.00034163 -0.01213759 ... -0.03529071 -0.03516248
  0.02221058]","[-0.03366398  0.02995546  0.00643115 ... -0.03529071 -0.03516248
  0.02221058]",0,16,DBSCAN_0_AGG_16
7361,OutpatientTreatment,Indicator of having received outpatient treatment for substance use in the past year.,"[-0.03562837  0.0282964   0.03183694 ... -0.00561049 -0.00965284
 -0.00116653]","[-0.03993493  0.01352757 -0.00033283 ... -0.03294886 -0.03894417
  0.01689359]","[-0.03562837  0.0282964   0.03183694 ... -0.03294886 -0.03894417
  0.01689359]",0,16,DBSCAN_0_AGG_16
7362,ReceiptOfSubstanceUseTreatment,Receipt of substance use treatment for drug use in the past year.,"[-0.01278562  0.00957561 -0.01144099 ... -0.00589149 -0.03550439
  0.03163372]","[-0.03175438 -0.00825196 -0.01023008 ... -0.03379125 -0.04535966
  0.03504471]","[-0.01278562  0.00957561 -0.01144099 ... -0.03379125 -0.04535966
  0.03504471]",0,31,DBSCAN_0_AGG_31
7363,SubstanceUseTreatment,Indicates if the respondent received substance use treatment in the past year.,"[-0.05270708  0.01166422 -0.01996566 ... -0.00120388 -0.06297836
  0.02193549]","[-0.04413652  0.00433461 -0.01216518 ... -0.03051255 -0.03226053
  0.02704229]","[-0.05270708  0.01166422 -0.01996566 ... -0.03051255 -0.03226053
  0.02704229]",0,31,DBSCAN_0_AGG_31
7364,OutpatientTreatmentForDrugUse,Indicates if the respondent received outpatient treatment for drug use.,"[-0.03867537  0.01083555  0.0091016  ... -0.00959149 -0.03091452
  0.01086133]","[-0.0427166   0.00544534  0.01571745 ... -0.01484569 -0.01998655
  0.00961508]","[-0.03867537  0.01083555  0.0091016  ... -0.01484569 -0.01998655
  0.00961508]",0,16,DBSCAN_0_AGG_16
7365,InpatientTreatmentForDrugUse,Indicates if the respondent received inpatient treatment for drug use.,"[-0.04025711  0.01096374 -0.00822888 ... -0.00632664 -0.01874289
  0.00010484]","[-0.04495314 -0.00484106  0.00235867 ... -0.01359533 -0.01856987
  0.01233867]","[-0.04025711  0.01096374 -0.00822888 ... -0.01359533 -0.01856987
  0.01233867]",0,16,DBSCAN_0_AGG_16
7366,SubstanceUseTreatmentInPrison,Indicates if the respondent received substance use treatment in prison.,"[-0.03892806  0.02079814 -0.01431013 ...  0.00158602 -0.05181982
  0.02503923]","[-0.03282127  0.00442302 -0.00187565 ... -0.00230968 -0.01791253
  0.01849125]","[-0.03892806  0.02079814 -0.01431013 ... -0.00230968 -0.01791253
  0.01849125]",0,31,DBSCAN_0_AGG_31
7367,SubstanceUseInvolvedIncarceration,Indicates if the respondent's substance use led to incarceration.,"[-0.04536558  0.02544604 -0.01585515 ...  0.01084508 -0.0669082
  0.03871232]","[-0.02635684  0.00822887 -0.00716971 ... -0.00727156 -0.04396881
  0.02407557]","[-0.04536558  0.02544604 -0.01585515 ... -0.00727156 -0.04396881
  0.02407557]",0,14,DBSCAN_0_AGG_14
7368,SubstanceUseInvolvedPsychiatricIssue,Indicates if the respondent's substance use led to a psychiatric issue.,"[-0.04536929  0.00651618 -0.00131968 ...  0.02146839 -0.0669791
  0.04664212]","[-0.02644713  0.00178238 -0.00046085 ...  0.00765714 -0.05096843
  0.02748918]","[-0.04536929  0.00651618 -0.00131968 ...  0.00765714 -0.05096843
  0.02748918]",0,14,DBSCAN_0_AGG_14
7369,AlcoholUseInvolvement,Indicates if the respondent's substance use involved alcohol.,"[-0.05264921  0.02333531  0.00041679 ... -0.0077156  -0.02590718
  0.0353598 ]","[-0.03293003  0.01860745 -0.01310589 ... -0.01536735 -0.04030953
  0.03687106]","[-0.05264921  0.02333531  0.00041679 ... -0.01536735 -0.04030953
  0.03687106]",0,27,DBSCAN_0_AGG_27
7370,SubstanceUseTreatment,Receipt of substance use treatment for alcohol use in the past year.,"[-0.05270708  0.01166422 -0.01996566 ... -0.00120388 -0.06297836
  0.02193549]","[-0.03387568 -0.00591642 -0.00124997 ... -0.03279817 -0.03508459
  0.03731843]","[-0.05270708  0.01166422 -0.01996566 ... -0.03279817 -0.03508459
  0.03731843]",0,31,DBSCAN_0_AGG_31
7371,Respondent,Individual taking the survey.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[ 0.01854133  0.0135672   0.05328322 ... -0.02670321 -0.01265862
  0.00959406]","[-0.00286051  0.01264529 -0.00938681 ... -0.02670321 -0.01265862
  0.00959406]",0,17,DBSCAN_0_AGG_17
7372,AlcoholUse,Usage of alcohol by the respondent.,"[-0.02892308  0.00115515  0.01632887 ... -0.00177021 -0.02955007
  0.02232611]","[-0.01509059  0.03278252  0.01590176 ... -0.01823738 -0.00309609
  0.03627896]","[-0.02892308  0.00115515  0.01632887 ... -0.01823738 -0.00309609
  0.03627896]",0,27,DBSCAN_0_AGG_27
7373,InpatientTreatment,Inpatient treatment for alcohol use.,"[-0.03362159  0.02996423  0.00642324 ... -0.0069098   0.00481661
 -0.01609238]","[-0.06235174  0.02257051  0.00462553 ... -0.0117938  -0.00843394
 -0.00045784]","[-0.03362159  0.02996423  0.00642324 ... -0.0117938  -0.00843394
 -0.00045784]",0,16,DBSCAN_0_AGG_16
7374,PrivateHealthFacility,Private health facility treatment for alcohol use.,"[-3.83644216e-02  1.64961075e-05  3.68181728e-02 ...  1.25450194e-02
 -1.35077769e-02  2.10931376e-02]","[-0.05406164  0.01081233  0.03343812 ...  0.01024293 -0.02820716
  0.01405352]","[-3.83644216e-02  1.64961075e-05  3.68181728e-02 ...  1.02429288e-02
 -2.82071605e-02  1.40535226e-02]",-1,16,DBSCAN_-1_AGG_16
7375,SubstanceUseTreatmentInPrison,Receipt of substance use treatment in prison for alcohol use.,"[-0.03892806  0.02079814 -0.01431013 ...  0.00158602 -0.05181982
  0.02503923]","[-0.03172135  0.01904329 -0.00047805 ... -0.00371632 -0.03282151
  0.03067358]","[-0.03892806  0.02079814 -0.01431013 ... -0.00371632 -0.03282151
  0.03067358]",0,31,DBSCAN_0_AGG_31
7376,AlcoholFlag,Indicator that the substance use treatment was specifically for alcohol.,"[-0.02748884 -0.00857999 -0.05351281 ...  0.03470859 -0.00993276
  0.01841558]","[-0.03770699  0.00306502 -0.04607455 ...  0.00125282 -0.02279896
 -0.0001806 ]","[-0.02748884 -0.00857999 -0.05351281 ...  0.00125282 -0.02279896
 -0.0001806 ]",0,27,DBSCAN_0_AGG_27
7377,IllegalDrugsFlag,Indicator that the substance use treatment was for illegal drugs.,"[-0.01268844 -0.04059103 -0.05767884 ...  0.0013556  -0.03450537
  0.01174412]","[-0.00883307  0.00297621 -0.04273183 ... -0.00857367 -0.04598109
  0.01598689]","[-0.01268844 -0.04059103 -0.05767884 ... -0.00857367 -0.04598109
  0.01598689]",0,27,DBSCAN_0_AGG_27
7378,AnyMentalIllnessFlag,Indicator that the respondent has had any mental illness.,"[-0.02145532 -0.0165065  -0.03323225 ...  0.04015433 -0.05171201
  0.02084455]","[ 0.00359139  0.01183045  0.01259737 ...  0.03019392 -0.02415798
  0.00155159]","[-0.02145532 -0.0165065  -0.03323225 ...  0.03019392 -0.02415798
  0.00155159]",0,3,DBSCAN_0_AGG_3
7379,SubstanceUseTreatment,The receipt of substance use treatment for alcohol use in the past year.,"[-0.05270708  0.01166422 -0.01996566 ... -0.00120388 -0.06297836
  0.02193549]","[-0.02374635 -0.00632083 -0.00081892 ... -0.02958687 -0.0341722
  0.03409535]","[-0.05270708  0.01166422 -0.01996566 ... -0.02958687 -0.0341722
  0.03409535]",0,31,DBSCAN_0_AGG_31
7380,AlcoholUseTreatment,Treatment for alcohol use received by the respondent.,"[-0.04030941  0.02350952  0.01389668 ... -0.00307256 -0.01597409
 -0.0030645 ]","[-0.04209615  0.02875564  0.00832469 ... -0.02115312 -0.00638139
  0.00836408]","[-0.04030941  0.02350952  0.01389668 ... -0.02115312 -0.00638139
  0.00836408]",0,27,DBSCAN_0_AGG_27
7381,InpatientTreatmentForAlcohol,Respondent received inpatient treatment for alcohol use.,"[-0.05326251  0.02388339  0.00023548 ... -0.00351048  0.01050119
 -0.00333193]","[-0.05335038  0.00065638 -0.00871933 ... -0.01299685  0.01680586
 -0.00041832]","[-0.05326251  0.02388339  0.00023548 ... -0.01299685  0.01680586
 -0.00041832]",0,16,DBSCAN_0_AGG_16
7382,PrisonOrJailForAlcoholUse,Respondent was in prison or jail for alcohol use.,"[-0.0311615  -0.00662108 -0.00109091 ...  0.01597912 -0.02058253
  0.03030574]","[-0.03755286  0.00086141 -0.01265597 ... -0.01199056  0.01178633
  0.00994821]","[-0.0311615  -0.00662108 -0.00109091 ... -0.01199056  0.01178633
  0.00994821]",0,14,DBSCAN_0_AGG_14
7383,SubstanceUseTreatment2019,Respondent received substance use treatment in the past year.,"[-0.05007108 -0.00294525 -0.01625215 ... -0.02148174 -0.06298613
  0.01535648]","[-0.05411613 -0.00308402 -0.01843636 ... -0.03126047 -0.02259809
  0.01488465]","[-0.05007108 -0.00294525 -0.01625215 ... -0.03126047 -0.02259809
  0.01488465]",0,31,DBSCAN_0_AGG_31
7384,PrisonOrJailForSubstanceUse,Respondent was in prison or jail for substance use.,"[-0.03465773  0.00052108 -0.01938277 ...  0.00375979 -0.0488677
  0.03398831]","[-0.03474457 -0.00525108 -0.01502215 ... -0.01852065 -0.02076395
  0.0114569 ]","[-0.03465773  0.00052108 -0.01938277 ... -0.01852065 -0.02076395
  0.0114569 ]",0,14,DBSCAN_0_AGG_14
7385,AlcoholFlag,Indicator flag for alcohol use.,"[-0.02748884 -0.00857999 -0.05351281 ...  0.03470859 -0.00993276
  0.01841558]","[-0.01677774  0.01530505 -0.05637542 ... -0.00667187 -0.02418252
 -0.00395701]","[-0.02748884 -0.00857999 -0.05351281 ... -0.00667187 -0.02418252
 -0.00395701]",0,27,DBSCAN_0_AGG_27
7386,IllFlag,Indicator flag for illness.,"[ 0.01061022 -0.00522829 -0.04179015 ...  0.00525992 -0.02707683
  0.0137734 ]","[-0.01141995  0.00921374 -0.05303882 ...  0.01673729 -0.04176096
 -0.00484245]","[ 0.01061022 -0.00522829 -0.04179015 ...  0.01673729 -0.04176096
 -0.00484245]",-1,3,DBSCAN_-1_AGG_3
7387,PsychologicalFlag,Indicator flag for any psychological issues.,"[-0.00254552 -0.0020972  -0.04127534 ...  0.01448284 -0.02983192
  0.01667123]","[-0.00085844  0.00790743 -0.03071845 ...  0.00643397 -0.02885183
  0.00892158]","[-0.00254552 -0.0020972  -0.04127534 ...  0.00643397 -0.02885183
  0.00892158]",-1,3,DBSCAN_-1_AGG_3
7388,SubstanceUseTreatment,Receipt of substance use treatment for alcohol use in the past year.,"[-0.05270708  0.01166422 -0.01996566 ... -0.00120388 -0.06297836
  0.02193549]","[-0.03387568 -0.00591642 -0.00124997 ... -0.03279817 -0.03508459
  0.03731843]","[-0.05270708  0.01166422 -0.01996566 ... -0.03279817 -0.03508459
  0.03731843]",0,31,DBSCAN_0_AGG_31
7389,AlcoholUse,Use of alcohol for which substance use treatment was received.,"[-0.02892308  0.00115515  0.01632887 ... -0.00177021 -0.02955007
  0.02232611]","[-0.04589601 -0.0101719  -0.00094838 ... -0.01264719 -0.01535454
  0.03107005]","[-0.02892308  0.00115515  0.01632887 ... -0.01264719 -0.01535454
  0.03107005]",0,27,DBSCAN_0_AGG_27
7390,Respondent,Individual responding to the survey.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[-0.02083481  0.02049528  0.06630098 ... -0.02902983  0.00451807
  0.00364416]","[-0.00286051  0.01264529 -0.00938681 ... -0.02902983  0.00451807
  0.00364416]",0,17,DBSCAN_0_AGG_17
7391,InpatientTreatment,Inpatient treatment for alcohol use.,"[-0.03362159  0.02996423  0.00642324 ... -0.0069098   0.00481661
 -0.01609238]","[-0.06235174  0.02257051  0.00462553 ... -0.0117938  -0.00843394
 -0.00045784]","[-0.03362159  0.02996423  0.00642324 ... -0.0117938  -0.00843394
 -0.00045784]",0,16,DBSCAN_0_AGG_16
7392,PrisonOrJail,Incarceration for alcohol use.,"[-0.01635221 -0.01619218 -0.00473908 ...  0.02415006 -0.01412633
  0.01625037]","[-0.04108978  0.01179261  0.00497127 ... -0.01035007 -0.03270623
  0.01401141]","[-0.01635221 -0.01619218 -0.00473908 ... -0.01035007 -0.03270623
  0.01401141]",0,14,DBSCAN_0_AGG_14
7393,SubstanceUseTreatmentPeriod,Period in the past year during which substance use treatment was received.,"[-0.04449335 -0.00124774  0.0168813  ... -0.01231564 -0.03213409
  0.02266834]","[-0.04128502 -0.01833313  0.00917302 ... -0.03725974 -0.01128887
  0.02109407]","[-0.04449335 -0.00124774  0.0168813  ... -0.03725974 -0.01128887
  0.02109407]",0,31,DBSCAN_0_AGG_31
7394,SubstanceUseTreatment,Any substance use treatment or other services received in the past year.,"[-0.05270708  0.01166422 -0.01996566 ... -0.00120388 -0.06297836
  0.02193549]","[-0.03583798  0.00045228  0.0013995  ... -0.04656775 -0.03718934
  0.02551362]","[-0.05270708  0.01166422 -0.01996566 ... -0.04656775 -0.03718934
  0.02551362]",0,31,DBSCAN_0_AGG_31
7395,DetoxificationService,Services related to detoxification.,"[-0.04607664  0.04432314 -0.00717587 ...  0.00741192 -0.03838821
 -0.00740517]","[-0.05062155  0.02834075  0.04401306 ...  0.00426417 -0.04989017
  0.00546572]","[-0.04607664  0.04432314 -0.00717587 ...  0.00426417 -0.04989017
  0.00546572]",0,21,DBSCAN_0_AGG_21
7489,Respondent,Individual taking the survey.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[ 0.01854133  0.0135672   0.05328322 ... -0.02670321 -0.01265862
  0.00959406]","[-0.00286051  0.01264529 -0.00938681 ... -0.02670321 -0.01265862
  0.00959406]",0,17,DBSCAN_0_AGG_17
7396,EmergencyRoomService,Visits to emergency rooms for substance use treatment.,"[-0.05215684  0.01082474  0.00047933 ... -0.01366888 -0.01090964
  0.00749949]","[-0.03060296  0.01891559  0.0223217  ... -0.03484109 -0.03972924
  0.01086834]","[-0.05215684  0.01082474  0.00047933 ... -0.03484109 -0.03972924
  0.01086834]",41,16,DBSCAN_41_AGG_16
7397,PeerSpecialistService,Services provided by peer specialists for substance use.,"[-0.04226492 -0.01864112  0.02633498 ... -0.02999872 -0.0233014
  0.00915935]","[-0.06030877 -0.00739554  0.02135936 ... -0.01680634 -0.06672777
  0.03525475]","[-0.04226492 -0.01864112  0.02633498 ... -0.01680634 -0.06672777
  0.03525475]",0,21,DBSCAN_0_AGG_21
7398,SupportGroup,Attendance or involvement in support groups for substance use.,"[-0.03862714 -0.00547169  0.05000182 ...  0.02796886 -0.03415329
 -0.00294419]","[-0.02772251  0.01137403  0.03355741 ... -0.02202205 -0.05947836
  0.03186341]","[-0.03862714 -0.00547169  0.05000182 ... -0.02202205 -0.05947836
  0.03186341]",0,26,DBSCAN_0_AGG_26
7399,PastYearPeriod,The time period referring to the past year.,"[-0.03826281 -0.0213051   0.0398463  ... -0.02845959  0.01071013
  0.0114443 ]","[-0.00010486 -0.01509821  0.0118109  ... -0.02254336  0.03115792
  0.00626277]","[-0.03826281 -0.0213051   0.0398463  ... -0.02254336  0.03115792
  0.00626277]",0,23,DBSCAN_0_AGG_23
7400,SubstanceUseTreatmentNeed,Classified as needing substance use treatment in the past year.,"[-0.04548609  0.01834024 -0.01705371 ... -0.0016573  -0.06146768
  0.02199971]","[-0.03975497  0.01807044 -0.01766421 ... -0.02779206 -0.03776582
  0.03059367]","[-0.04548609  0.01834024 -0.01705371 ... -0.02779206 -0.03776582
  0.03059367]",0,16,DBSCAN_0_AGG_16
7401,SubstanceUseDetox,Indicator for whether the respondent needed detoxification treatment for substance use.,"[-0.05955148  0.0204835  -0.04453314 ...  0.01630852 -0.08042639
  0.00661401]","[-0.03397908  0.02483193 -0.01201344 ... -0.01007019 -0.03581128
  0.00454581]","[-0.05955148  0.0204835  -0.04453314 ... -0.01007019 -0.03581128
  0.00454581]",0,31,DBSCAN_0_AGG_31
7402,EmergencyRoomVisitDueToSubstanceUse,Indicator for whether the respondent needed emergency room visit due to substance use.,"[-0.03457662  0.00207883 -0.04488518 ... -0.02484524 -0.03242901
  0.04088525]","[-0.02711409  0.01748947 -0.01774667 ... -0.02030511 -0.03541211
  0.01518822]","[-0.03457662  0.00207883 -0.04488518 ... -0.02030511 -0.03541211
  0.01518822]",41,16,DBSCAN_41_AGG_16
7403,PeerSupportForSubstanceUse,Indicator for whether the respondent needed peer support for substance use.,"[-0.04407533 -0.03718378  0.01793336 ... -0.02030712 -0.06006374
  0.02235927]","[-0.02489769  0.00072858  0.00934531 ... -0.03390973 -0.03938083
  0.02184276]","[-0.04407533 -0.03718378  0.01793336 ... -0.03390973 -0.03938083
  0.02184276]",0,31,DBSCAN_0_AGG_31
7404,SupportGroupForSubstanceUse,Indicator for whether the respondent needed a support group for substance use.,"[-0.04196032 -0.0161822   0.01434299 ...  0.01904644 -0.07618575
  0.026476  ]","[-0.02803843 -0.00351176  0.01036475 ... -0.01673396 -0.0601977
  0.01446471]","[-0.04196032 -0.0161822   0.01434299 ... -0.01673396 -0.0601977
  0.01446471]",0,31,DBSCAN_0_AGG_31
7405,SubstanceUseTreatmentReceived,Indicator for whether the respondent received any treatment for substance use.,"[-0.04578834  0.00100468 -0.03367807 ... -0.00921966 -0.02753644
  0.01877091]","[-0.02270205  0.00457166 -0.01266766 ... -0.01700991 -0.03316867
  0.01454953]","[-0.04578834  0.00100468 -0.03367807 ... -0.01700991 -0.03316867
  0.01454953]",0,31,DBSCAN_0_AGG_31
7406,SubstanceUseTreatment,Whether the respondent sought or thought should get substance use treatment but did not receive it in the past year.,"[-0.05270708  0.01166422 -0.01996566 ... -0.00120388 -0.06297836
  0.02193549]","[-0.03226579 -0.00236376 -0.02246883 ... -0.02498087 -0.02368298
  0.04792419]","[-0.05270708  0.01166422 -0.01996566 ... -0.02498087 -0.02368298
  0.04792419]",0,31,DBSCAN_0_AGG_31
7407,SoughtTreatment,Whether the respondent actively sought substance use treatment.,"[ 0.00287337  0.00202699  0.0217364  ... -0.00245995 -0.02558676
 -0.01675069]","[-0.03850338 -0.00226981 -0.0131823  ... -0.00674377 -0.03100715
  0.01465173]","[ 0.00287337  0.00202699  0.0217364  ... -0.00674377 -0.03100715
  0.01465173]",0,16,DBSCAN_0_AGG_16
7408,ThoughtShouldGetTreatment,Whether the respondent thought they should get substance use treatment.,"[ 0.0067112  -0.00907776 -0.01346204 ... -0.00556954 -0.02438707
  0.0084118 ]","[-0.01175478 -0.01495801 -0.01710309 ... -0.00383308 -0.03126929
  0.02440214]","[ 0.0067112  -0.00907776 -0.01346204 ... -0.00383308 -0.03126929
  0.02440214]",0,16,DBSCAN_0_AGG_16
7409,NotReceiveTreatment,Whether the respondent did not receive substance use treatment.,"[-0.00403325  0.00288503  0.00902368 ... -0.01096891 -0.01472813
  0.01585513]","[-0.03826981  0.01265701 -0.01080328 ... -0.01217491 -0.02879063
  0.0450329 ]","[-0.00403325  0.00288503  0.00902368 ... -0.01217491 -0.02879063
  0.0450329 ]",0,16,DBSCAN_0_AGG_16
7410,NeverUsedSubstances,"Whether the respondent never used alcohol, illicit drugs, or any other substances.","[-0.03391672  0.01797915 -0.02395574 ... -0.01497439 -0.05074336
  0.0361888 ]","[-0.01727258 -0.01502487 -0.00756595 ... -0.02283834 -0.02745418
  0.03652529]","[-0.03391672  0.01797915 -0.02395574 ... -0.02283834 -0.02745418
  0.03652529]",-1,31,DBSCAN_-1_AGG_31
7411,Respondent,Individual who did not receive substance use treatment due to cost concerns.,"[-0.00286889  0.01265598 -0.00939113 ... -0.01555475  0.02671652
  0.01562946]","[-0.01442274 -0.01157652 -0.01834073 ... -0.0233234  -0.0226562
  0.0407982 ]","[-0.00286889  0.01265598 -0.00939113 ... -0.0233234  -0.0226562
  0.0407982 ]",0,17,DBSCAN_0_AGG_17
7412,SubstanceUseTreatment,Health service for substance use which was unmet in the past year.,"[-0.05270708  0.01166422 -0.01996566 ... -0.00120388 -0.06297836
  0.02193549]","[-0.07008666  0.0138126   0.01932967 ... -0.03929745 -0.06588572
  0.02387626]","[-0.05270708  0.01166422 -0.01996566 ... -0.03929745 -0.06588572
  0.02387626]",0,31,DBSCAN_0_AGG_31
7413,Cost,Financial barrier preventing respondents from receiving substance use treatment.,"[ 0.00584271  0.01841952  0.04731911 ... -0.01836178  0.02101788
  0.02163861]","[-0.04193267  0.00278271  0.01800167 ... -0.01857591 -0.0352822
  0.02370398]","[ 0.00584271  0.01841952  0.04731911 ... -0.01857591 -0.0352822
  0.02370398]",33,16,DBSCAN_33_AGG_16
7414,ReasonForUnmetTreatment,Various factors preventing respondents from receiving the needed substance use treatment.,"[-0.04020924  0.00854161  0.023518   ...  0.01084441 -0.04448821
  0.00853344]","[-0.03964198  0.01066246  0.03611996 ... -0.02218614 -0.05815185
  0.02338157]","[-0.04020924  0.00854161  0.023518   ... -0.02218614 -0.05815185
  0.02338157]",0,16,DBSCAN_0_AGG_16
7415,SubstanceUseTreatmentNeed,Unmet substance use treatment need due to no health insurance coverage.,"[-0.04548609  0.01834024 -0.01705371 ... -0.0016573  -0.06146768
  0.02199971]","[-0.02609901  0.00061408 -0.02454428 ... -0.01735686 -0.07544244
  0.03754281]","[-0.04548609  0.01834024 -0.01705371 ... -0.01735686 -0.07544244
  0.03754281]",0,16,DBSCAN_0_AGG_16
7416,Respondent,"Individual participating in the survey, aged 12 or older.","[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[ 0.05363073  0.01315952  0.04486231 ... -0.01949456  0.0298071
  0.00923717]","[-0.00286051  0.01264529 -0.00938681 ... -0.01949456  0.0298071
  0.00923717]",0,17,DBSCAN_0_AGG_17
7417,HealthInsuranceCoverage,Availability of health insurance coverage for substance use treatment.,"[-0.02256321 -0.02521692 -0.00173191 ...  0.00445063 -0.0250169
  0.03573842]","[-0.04206774 -0.02187092 -0.01403852 ... -0.02028052 -0.06906857
  0.04402883]","[-0.02256321 -0.02521692 -0.00173191 ... -0.02028052 -0.06906857
  0.04402883]",0,19,DBSCAN_0_AGG_19
7418,SubstanceUseTreatment,Related to the substance use treatment services.,"[-0.05270708  0.01166422 -0.01996566 ... -0.00120388 -0.06297836
  0.02193549]","[-0.05396685 -0.00823977  0.00449502 ...  0.00640392 -0.06958324
  0.02985174]","[-0.05270708  0.01166422 -0.01996566 ...  0.00640392 -0.06958324
  0.02985174]",0,31,DBSCAN_0_AGG_31
7419,SurveyPeriod,The past year.,"[-0.00941919 -0.01081145  0.02660084 ... -0.02191847  0.0023373
 -0.01669163]","[-0.00722211 -0.01898791 -0.02429483 ... -0.03027224 -0.00363067
 -0.01445849]","[-0.00941919 -0.01081145  0.02660084 ... -0.03027224 -0.00363067
 -0.01445849]",0,23,DBSCAN_0_AGG_23
7420,SubstanceUseTreatment,Respondent did not receive substance use treatment.,"[-0.05270708  0.01166422 -0.01996566 ... -0.00120388 -0.06297836
  0.02193549]","[-0.04783943  0.01008503 -0.01957868 ... -0.02251045 -0.02118927
  0.02702764]","[-0.05270708  0.01166422 -0.01996566 ... -0.02251045 -0.02118927
  0.02702764]",0,31,DBSCAN_0_AGG_31
7421,HealthInsuranceCoverage,Extent to which health insurance covers substance use treatment.,"[-0.02256321 -0.02521692 -0.00173191 ...  0.00445063 -0.0250169
  0.03573842]","[-0.04207133 -0.04453606  0.03121185 ... -0.01276294 -0.05930007
  0.04909948]","[-0.02256321 -0.02521692 -0.00173191 ... -0.01276294 -0.05930007
  0.04909948]",0,19,DBSCAN_0_AGG_19
7422,UnmetNeed,Unmet need for substance use treatment.,"[-0.01075702  0.05534514  0.03028627 ...  0.00728569 -0.05358089
  0.02146503]","[-0.02482875  0.0290499   0.01641267 ... -0.02665092 -0.06334346
  0.03437222]","[-0.01075702  0.05534514  0.03028627 ... -0.02665092 -0.06334346
  0.03437222]",0,16,DBSCAN_0_AGG_16
7423,PastYear,The past year period referenced in the survey.,"[-0.0419371  -0.02068234 -0.00164758 ... -0.02267074  0.01412967
  0.01818178]","[-0.00402026  0.01260725  0.03528081 ... -0.03784263  0.01243321
 -0.00867401]","[-0.0419371  -0.02068234 -0.00164758 ... -0.03784263  0.01243321
 -0.00867401]",0,23,DBSCAN_0_AGG_23
7424,ThoughtTheyShouldGetTreatment,Respondent thought they should get substance use treatment.,"[ 0.01752714 -0.00980279 -0.01322291 ...  0.00821294 -0.0308974
  0.01108243]","[-0.024009   -0.0011351  -0.03808026 ... -0.00761173 -0.02315925
  0.01683654]","[ 0.01752714 -0.00980279 -0.01322291 ... -0.00761173 -0.02315925
  0.01683654]",0,16,DBSCAN_0_AGG_16
7425,SubstanceUseTreatment,The need for substance use treatment.,"[-0.05270708  0.01166422 -0.01996566 ... -0.00120388 -0.06297836
  0.02193549]","[-0.02161867  0.01696978 -0.00549536 ... -0.0007604  -0.05992496
  0.02324443]","[-0.05270708  0.01166422 -0.01996566 ... -0.0007604  -0.05992496
  0.02324443]",0,31,DBSCAN_0_AGG_31
