relationship,source_entity,target_entity,question_code,description
leadsTo,MentalHealthInterference,WorkDifficulty,IMPRESP,Mental health interference leading to difficulty in taking care of work responsibilities.
leadsTo,MentalHealthInterference,SchoolDifficulty,IMPRESP,Mental health interference leading to difficulty in taking care of school responsibilities.
affects,EmotionalProblems,Activity,IMPRESPM,Emotional problems impact the ability to work or attend school.
experiencesDifficultyWith,Respondent,Daily_Activities,IMPWORK,Respondent experienced difficulty with daily activities.
hasMentalHealthInterference,Respondent,Mental_Health_Issue,IMPWORK,Mental health issues interfering with respondent's daily activities.
reportsDifficultyLevel,Respondent,Difficulty_Level,IMPWORK,Respondent reports the level of difficulty faced in performing daily tasks.
experiencesDifficulty,Respondent,DifficultiesDuration,IMPWEEKS,Relates the respondent to the duration of difficulties experienced due to mental health.
isPartOfSurvey,DifficultiesDuration,Survey,IMPWEEKS,Relates the duration of difficulties to the NSDUH survey.
relatedTo,MentalHealth,DifficultiesDuration,IMPWEEKS,Relates mental health issues to the duration of difficulties experienced.
experiencedIn,DifficultiesFrequency,Week,IMPDYFRQ,Indicates that the frequency of difficulties is measured in units of weeks.
reportedBy,DifficultiesFrequency,Respondent,IMPDYFRQ,Indicates that the frequency of difficulties is reported by a respondent.
isAffectedBy,DaysUnableToWork,EmotionalHealth,IMPYDAYS,"The number of days unable to work is affected by the respondent's emotional, nerve-related, or mental health condition."
occurredIn,DaysUnableToWork,PastYear,IMPYDAYS,The number of days unable to work or carry out normal activities occurred in the past 12 months.
hasRecordedBy,DaysUnableToWork,Respondent,IMPYDAYS,The number of days unable to work or carry out normal activities is recorded by the respondent.
hasTimeFrame,SuicidalThought,TimePeriod,SUICTHNK,Relates the suicidal thought to the time period of the past 12 months.
isConsideredBy,SuicideAttemptConsideration,Respondent,SUICTHNK,Indicates the respondent who has considered attempting suicide.
includesConsideration,SuicidalThought,SuicideAttemptConsideration,SUICTHNK,Indicates that the suicidal thought includes consideration of attempting suicide.
isReportedBy,SuicidalThought,Respondent,SUICTHNK,Indicates the respondent who reported the suicidal thoughts.
impacts,COVID-19,MentalHealth,COSUITHNK,"COVID-19 pandemic's impact on mental health, specifically related to suicidal thoughts."
considers,MentalHealth,SuicidalThoughts,COSUITHNK,Considering suicidal thoughts as part of mental health assessment.
hasSurveyQuestion,Survey,MentalHealth,SUIPLANYR,Relates the survey to assessing mental health issues such as planning to kill oneself.
respondedTo,SurveyRespondent,MentalHealth,SUIPLANYR,Relates the survey respondent to their mental health status regarding suicidal planning.
hasTimeFrame,MentalHealth,SurveyPeriod,SUIPLANYR,Specifies the time frame for the mental health condition being surveyed.
isDueTo,PlanToKillYourself,COVID-19,COSUIPLNYR,The planning of suicide is attributed to the stress or impact caused by the COVID-19 pandemic.
madeBy,PlanToKillYourself,Adult,COSUIPLNYR,The suicide plan is made by an adult.
hasSymptom,PsychologicalDistressScore,SymptomsOfPsychologicalDistress,KSSLR6MONED,Relates the psychological distress score to the symptoms measured by K6.
measuredBy,SymptomsOfPsychologicalDistress,"['FrequentFeelingNervous', 'FrequentFeelingHopeless', 'FrequentFeelingRestless', 'FrequentFeelingCheerless', 'FrequentFeelingEffortful', 'FrequentFeelingWorthless']",KSSLR6MONED,Relates the symptoms of psychological distress to the specific feelings measured.
indicatesDistressLevel,K6_Score,Psychological_Distress,KSSLR6YRED,The K6 score indicates the level of psychological distress.
experiencedDuring,Psychological_Distress,Worst_Month,KSSLR6YRED,Psychological distress experienced during the worst month in the past year.
measuredBy,K6_Score,Symptoms,KSSLR6YRED,The K6 score is measured by the frequency of certain symptoms.
includesSymptom,Symptoms,DSTNRV12,KSSLR6YRED,Symptoms of distress include feeling nervous.
includesSymptom,Symptoms,DSTHOP12,KSSLR6YRED,Symptoms of distress include feeling hopeless.
includesSymptom,Symptoms,DSTRST12,KSSLR6YRED,Symptoms of distress include feeling restless or fidgety.
includesSymptom,Symptoms,DSTCHR12,KSSLR6YRED,Symptoms of distress include feeling so sad or depressed that nothing could cheer them up.
includesSymptom,Symptoms,DSTEFF12,KSSLR6YRED,Symptoms of distress include feeling that everything was an effort.
includesSymptom,Symptoms,DSTNGD12,KSSLR6YRED,"Symptoms of distress include feeling down on themselves, no good, or worthless."
definedBy,K6_Score,DSTWORST,KSSLR6YRED,The K6 score is defined only for respondents who reported experiencing the worst month in the past year compared to the past 30 days.
isDerivedFrom,WHODAS_TOTAL_SCORE,ActivityPerformance,WHODASSCED,WHODAS total score is derived from the evaluation of performance in daily activities.
hasDifficultyLevel,ActivityPerformance,DailyActivityDifficulty,WHODASSCED,Activity performance is assessed based on different levels of difficulty.
isImpactedBy,ActivityPerformance,EmotionalImpact,WHODASSCED,"Performance in daily activities is impacted by emotions, nerves, or mental health issues."
isAlternativeScore,WHODAS_TOTAL_SCORE,WHODASDAED_SCORE,WHODASSCED,WHODASDAED_SCORE serves as an alternative scoring mechanism to the WHODAS total score.
composedOf,AlternativeWHODASScore,ImpairmentInConcentration,WHODASDAED,Alternative WHODAS score includes impairment in concentration.
composedOf,AlternativeWHODASScore,ImpairmentInGoingOut,WHODASDAED,Alternative WHODAS score includes impairment in going out.
composedOf,AlternativeWHODASScore,ImpairmentInHouseholdActivities,WHODASDAED,Alternative WHODAS score includes impairment in household activities.
composedOf,AlternativeWHODASScore,ImpairmentInDealingWithPeople,WHODASDAED,Alternative WHODAS score includes impairment in dealing with people.
composedOf,AlternativeWHODASScore,ImpairmentInRemembering,WHODASDAED,Alternative WHODAS score includes impairment in remembering.
composedOf,AlternativeWHODASScore,ImpairmentInSocialParticipation,WHODASDAED,Alternative WHODAS score includes impairment in social participation.
assessesEmotionalState,SurveyRespondent,EmotionalState,IRDSTNRV30,Relates the survey respondent to their reported emotional state.
hasSurveyPeriod,Survey,SurveyPeriod,IRDSTNRV30,Relates the survey to the time period of the past 30 days.
indicatesImportance,SurveyRespondent,Importance,IRDSTNRV30,"Shows the importance of certain aspects in daily life impacting mental health, such as concentration, social activities, and relationships."
hasSurveyPeriod,NervousnessFrequency,SurveyPeriod,IIDSTNRV30,Relates the frequency of feeling nervous to the time period of the past 30 days.
impacts,NervousnessFrequency,ImpactOnImportantAreas,IIDSTNRV30,Indicates the impact of feeling nervous on various important areas of life.
hasFrequency,Feeling,MentalHealth,IRDSTHOP30,Relates the frequency of feelings of hopelessness to mental health.
hasSurveyPeriod,Feeling,TimePeriod,IRDSTHOP30,Relates instances of feeling hopeless to the time period of the past 30 days.
belongsToCategory,Question,QuestionCategory,IRDSTHOP30,Classifies the question under specific categories that impact the respondent.
hasFrequency,FeelingOfHopelessness,TimePeriod,IIDSTHOP30,The frequency of hopelessness felt by the respondent in the past 30 days.
experiencedBy,FeelingOfHopelessness,Respondent,IIDSTHOP30,Indicates that the feeling of hopelessness was experienced by the respondent.
hasSurveyPeriod,MentalHealthStatus,SurveyPeriod,IRDSTRST30,Relates the respondent's mental health status to the time period in which it is assessed.
affects,Restlessness,MentalHealthStatus,IRDSTRST30,Restlessness or fidgetiness is an indicator of the respondent's mental health status.
hasSurveyPeriod,FidgetyRestlessFeeling,SurveyPeriod,IIDSTRST30,Relates the feeling of being restless and fidgety to the time period of the past 30 days.
hasSurveyPeriod,MoodStatus,SurveyPeriod,IRDSTCHR30,Relates the mood status measurement to the 30-day survey period.
impactOn,MoodStatus,ImpactOnFunctioning,IRDSTCHR30,"Relates the mood status to its impact on various functioning aspects (concentration, going out, household responsibilities, dealing with people, social interactions, etc.)."
hasSurveyPeriod,MentalHealth,TimePeriod,IIDSTCHR30,Relates the mental health aspect to the survey period of the past 30 days.
containsAttribute,MentalHealth,ImpConcn,IIDSTCHR30,Mental Health contains the attribute Impairment in concentration.
containsAttribute,MentalHealth,ImpGout,IIDSTCHR30,Mental Health contains the attribute Impairment in going out.
containsAttribute,MentalHealth,ImpGoutM,IIDSTCHR30,Mental Health contains the attribute Impairment in going out on most days.
containsAttribute,MentalHealth,ImpHhld,IIDSTCHR30,Mental Health contains the attribute Impairment in household activities.
containsAttribute,MentalHealth,ImpHhldM,IIDSTCHR30,Mental Health contains the attribute Impairment in household activities on most days.
containsAttribute,MentalHealth,ImpPeop,IIDSTCHR30,Mental Health contains the attribute Impairment in interacting with people.
containsAttribute,MentalHealth,ImpPeopM,IIDSTCHR30,Mental Health contains the attribute Impairment in interacting with people on most days.
containsAttribute,MentalHealth,ImpRemem,IIDSTCHR30,Mental Health contains the attribute Impairment in remembering things.
containsAttribute,MentalHealth,ImpResp,IIDSTCHR30,Mental Health contains the attribute Impairment in responding to situations.
containsAttribute,MentalHealth,ImpRespM,IIDSTCHR30,Mental Health contains the attribute Impairment in responding to situations on most days.
containsAttribute,MentalHealth,ImpSoc,IIDSTCHR30,Mental Health contains the attribute Impairment in social situations.
measures,MentalHealthEffortFrequency,SurveyPeriod,IRDSTEFF30,Measures how often the respondent felt that everything was an effort within the past 30 days.
measures,EffortFeelingFrequency,MentalHealthImpact,IIDSTEFF30,Frequency of feeling everything was an effort is a measure of mental health impact.
hasSurveyPeriod,EffortFeelingFrequency,SurveyPeriod,IIDSTEFF30,Relates the frequency of feeling everything was an effort to the past 30 days.
reportedBy,EffortFeelingFrequency,Respondent,IIDSTEFF30,The frequency of feeling that everything was an effort is reported by the respondent.
hasDescription,EffortFeelingFrequency,IMPCONCN,IIDSTEFF30,Relates to impact on concentration as denoted by IMPCONCN in the long description.
affects,EffortFeelingFrequency,IMPGOUT,IIDSTEFF30,Feeling everything was an effort affects going out.
affects,EffortFeelingFrequency,IMPGOUTM,IIDSTEFF30,Feeling everything was an effort affects going out with mental health considerations.
affects,EffortFeelingFrequency,IMPHHLD,IIDSTEFF30,Feeling everything was an effort affects household activities.
affects,EffortFeelingFrequency,IMPHHLDM,IIDSTEFF30,Feeling everything was an effort affects household activities with mental health considerations.
affects,EffortFeelingFrequency,IMPPEOP,IIDSTEFF30,Feeling everything was an effort affects interactions with people.
affects,EffortFeelingFrequency,IMPPEOPM,IIDSTEFF30,Feeling everything was an effort affects interactions with people with mental health considerations.
affects,EffortFeelingFrequency,IMPREMEM,IIDSTEFF30,Feeling everything was an effort affects remembering things.
affects,EffortFeelingFrequency,IMPRESP,IIDSTEFF30,Feeling everything was an effort affects responsibility handling.
affects,EffortFeelingFrequency,IMPRESPM,IIDSTEFF30,Feeling everything was an effort affects responsibility handling with mental health considerations.
affects,EffortFeelingFrequency,IMPSOC,IIDSTEFF30,Feeling everything was an effort affects social interactions.
affects,MentalHealthState,EmotionalState,IRDSTNGD30,Mental health state affects the individual's ability to concentrate.
affects,MentalHealthState,SocialInteraction,IRDSTNGD30,Mental health state affects the individual's social interactions.
affects,MentalHealthState,HouseholdFunctioning,IRDSTNGD30,Mental health state affects the individual's household responsibilities.
affects,MentalHealthState,PerceptionByOthers,IRDSTNGD30,Mental health state affects how others perceive the individual.
affects,MentalHealthState,Memory,IRDSTNGD30,Mental health state affects the individual's memory.
affects,MentalHealthState,ResponseToPeople,IRDSTNGD30,Mental health state affects the individual's responsiveness to others.
affects,MentalHealthState,SocialEngagement,IRDSTNGD30,Mental health state affects the individual's social engagements.
monitors,Survey,FeelingDown,IIDSTNGD30,"The survey monitors the frequency of feeling down, worthless, or no good."
assesses,Survey,MentalHealth,IIDSTNGD30,"The survey assesses mental health status related to feelings of being down, worthless, or no good."
hasSurveyPeriod,Survey,SurveyPeriod,IIDSTNGD30,Relates the survey to the time period of the past 30 days.
examines,FeelingDown,ImpactOnDailyLife,IIDSTNGD30,Examines how often feeling down impacts various aspects of daily life.
hasMentalHealthStatus,Survey,MentalHealth,IRDSTWORST,Relates the survey to the mental health status of the respondent.
hasImpactOnFunction,MentalHealth,ImpactOnDailyFunction,IMPCONCN,Relates mental health to its impact on daily functions like concentration.
hasImpactOnFunction,MentalHealth,ImpactOnSocialInteraction,IMPSOC,Relates mental health to its impact on social interactions and relationships.
hasImpactOnFunction,MentalHealth,ImpactOnHouseholdActivity,IMPHHLD,Relates mental health to its impact on household activities.
hasImpactOnFunction,MentalHealth,ImpactOnWork,IMPRESP,Relates mental health to its impact on work and responsibilities.
hasImpactOnFunction,MentalHealth,ImpactOnMemory,IMPREMEM,Relates mental health to its impact on memory and cognitive functions.
hasImpactOnFunction,MentalHealth,ImpactOnGroupActivities,IMPGOUT,Relates mental health to its impact on participation in group activities.
hasSurveyPeriod,Survey,SurveyPeriod,IIDSTWORST,Relates the survey question to the periods of past 30 days and past 12 months.
hasImpactIndicator,MentalHealth,ImpactIndicator,IIDSTWORST,Relates mental health with various impact indicators.
isWorseThan,MentalHealth,SurveyPeriod,IIDSTWORST,Compares mental health status across different survey periods.
impacts,Feeling Nervous,Impairment in Concentration,IRDSTNRV12,Nervous feelings impact the ability to concentrate.
impacts,Feeling Nervous,Impairment in Going Out,IRDSTNRV12,Nervous feelings impact the ability to go out.
impacts,Feeling Nervous,Impairment in Household Duties,IRDSTNRV12,Nervous feelings impact the ability to perform household duties.
impacts,Feeling Nervous,Impairment in Interaction with People,IRDSTNRV12,Nervous feelings impact interaction with people.
impacts,Feeling Nervous,Impairment in Remembering Things,IRDSTNRV12,Nervous feelings impact the ability to remember things.
impacts,Feeling Nervous,Impairment in Responding to People,IRDSTNRV12,Nervous feelings impact response to people.
impacts,Feeling Nervous,Impairment in Social Situations,IRDSTNRV12,Nervous feelings impact social situations.
hasImpactOn,FeelingNervous,ImpactOnConcentration,IIDSTNRV12,Feeling nervous can impact the respondent's concentration.
hasImpactOn,FeelingNervous,ImpactOnGoingOut,IIDSTNRV12,Feeling nervous can impact the respondent's social activities.
hasImpactOn,FeelingNervous,ImpactOnGoingOutMore,IIDSTNRV12,Feeling nervous can further impact social activities.
hasImpactOn,FeelingNervous,ImpactOnHouseholdTasks,IIDSTNRV12,Feeling nervous can impact the respondent's household tasks.
hasImpactOn,FeelingNervous,ImpactOnHouseholdTasksMore,IIDSTNRV12,Feeling nervous can further impact household tasks.
hasImpactOn,FeelingNervous,ImpactOnOtherPeople,IIDSTNRV12,Feeling nervous can impact the respondent's interaction with other people.
hasImpactOn,FeelingNervous,ImpactOnOtherPeopleMore,IIDSTNRV12,Feeling nervous can further impact interactions with other people.
hasImpactOn,FeelingNervous,ImpactOnRememberingThings,IIDSTNRV12,Feeling nervous can impact the respondent's memory.
hasImpactOn,FeelingNervous,ImpactOnResponsibilities,IIDSTNRV12,Feeling nervous can impact the respondent's ability to manage responsibilities.
hasImpactOn,FeelingNervous,ImpactOnResponsibilitiesMore,IIDSTNRV12,Feeling nervous can further impact responsibility management.
hasImpactOn,FeelingNervous,ImpactOnSocialLife,IIDSTNRV12,Feeling nervous can impact the respondent's social life.
measures,Survey,Hopelessness,IRDSTHOP12,The survey measures the frequency of feelings of hopelessness.
experiences,SurveyRespondent,Hopelessness,IRDSTHOP12,The respondent experiences feelings of hopelessness.
indicates,Hopelessness,MentalHealth,IRDSTHOP12,Feelings of hopelessness indicate mental health issues.
hasImpact,Emotion,ImportanceIndicator,IIDSTHOP12,Indicates the impact of feeling hopeless on various aspects of life
hasTimeFrame,Emotion,TimePeriod,IIDSTHOP12,Associates the feeling of hopelessness with the past month
hasSurveyPeriod,MentalHealth,SurveyPeriod,IRDSTRST12,Relates the mental health symptom to the time period of the past month.
hasSymptom,MentalHealth,BehavioralSymptoms,IRDSTRST12,Associates the mental health domain with specific behavioral symptoms like restlessness or fidgetiness.
affects,FeelingRestlessOrFidgety,ImpactOnConcentration,IIDSTRST12,Feeling restless or fidgety affects the ability to concentrate in the past month
affects,FeelingRestlessOrFidgety,ImpactOnGoingOut,IIDSTRST12,Feeling restless or fidgety affects the ability to go out and engage in activities in the past month
affects,FeelingRestlessOrFidgety,ImpactOnHouseholdActivities,IIDSTRST12,Feeling restless or fidgety affects household activities in the past month
affects,FeelingRestlessOrFidgety,ImpactOnInteractionsWithPeople,IIDSTRST12,Feeling restless or fidgety affects interactions with other people in the past month
affects,FeelingRestlessOrFidgety,ImpactOnRememberingThings,IIDSTRST12,Feeling restless or fidgety affects the ability to remember things in the past month
affects,FeelingRestlessOrFidgety,ImpactOnWork,IIDSTRST12,Feeling restless or fidgety affects work or productivity in the past month
affects,FeelingRestlessOrFidgety,ImpactOnSocialFunctioning,IIDSTRST12,Feeling restless or fidgety affects social functioning in the past month
affects,EmotionalState,MentalHealth,IRDSTCHR12,A link showing how often feeling unable to be cheered up impacts mental health.
hasSurveyPeriod,Survey,SurveyPeriod,IRDSTCHR12,Relates the survey question to the time period of the past month.
hasFrequency,IIDSTCHR12,Frequency,IIDSTCHR12,Relates to the frequency of feeling unable to be cheered up in the worst month.
affects,Mental Health,Emotional Well-being,IIDSTCHR12,Indicates an impact on emotional well-being due to experiences of feeling down.
impactsConcentration,Feeling of Exhaustion,IMPCONCN,IRDSTEFF12,Feeling that everything is an effort impacts concentration in the past month.
impactsSocializing,Feeling of Exhaustion,IMPGOUT,IRDSTEFF12,Feeling that everything is an effort impacts going out and socializing in the past month.
impactsSocializingWithMales,Feeling of Exhaustion,IMPGOUTM,IRDSTEFF12,Feeling that everything is an effort impacts going out and socializing with males in the past month.
impactsHouseholdResponsibilities,Feeling of Exhaustion,IMPHHLD,IRDSTEFF12,Feeling that everything is an effort impacts household responsibilities in the past month.
impactsHouseholdResponsibilitiesWithMales,Feeling of Exhaustion,IMPHHLDM,IRDSTEFF12,Feeling that everything is an effort impacts household responsibilities with males in the past month.
impactsInteractionsWithPeople,Feeling of Exhaustion,IMPPEOP,IRDSTEFF12,Feeling that everything is an effort impacts interactions with people in the past month.
impactsInteractionsWithMales,Feeling of Exhaustion,IMPPEOPM,IRDSTEFF12,Feeling that everything is an effort impacts interactions with males in the past month.
impactsMemory,Feeling of Exhaustion,IMPREMEM,IRDSTEFF12,Feeling that everything is an effort impacts memory and remembering things in the past month.
impactsResponsibilities,Feeling of Exhaustion,IMPRESP,IRDSTEFF12,Feeling that everything is an effort impacts responsibilities in the past month.
impactsResponsibilitiesWithMales,Feeling of Exhaustion,IMPRESPM,IRDSTEFF12,Feeling that everything is an effort impacts responsibilities with males in the past month.
impactsSocialLife,Feeling of Exhaustion,IMPSOC,IRDSTEFF12,Feeling that everything is an effort impacts social life in the past month.
feltFrequency,Respondent,FrequencyOfEffort,IIDSTEFF12,Links the respondent to how often they felt everything was an effort in the past month.
hasTimePeriod,FrequencyOfEffort,TimePeriod,IIDSTEFF12,Specifies the time period during which the respondent felt everything was an effort.
induces,FrequencyOfEffort,MentalHealthStatus,IIDSTEFF12,Indicates that the frequency of feeling everything was an effort contributes to the assessment of mental health status.
affects,MentalHealthStatus,ImpactOnDailyLife,IIDSTEFF12,Shows how the respondent's mental health status affects their daily life.
hasExperience,EmotionalState,MentalHealthImpact,IRDSTNGD12,"Relates the frequency of feeling down, worthless, and no good to various impacts on mental health and daily functioning."
hasFrequency,MentalHealthStatus,Frequency,IIDSTNGD12,"Relates the mental health status to the frequency of experiencing down, worthless, or no good feelings."
impacts,MentalHealthStatus,MentalHealthImpact,IIDSTNGD12,Describes how often negative mental health feelings impact daily functions and overall well-being.
hasSurveyPeriod,DifficultyRemembering,TimePeriod,IRIMPREMEM,Relates the difficulty remembering to the past 12 months.
isIndicatorOf,DifficultyRemembering,MentalHealth,IRIMPREMEM,Difficulty remembering is an indicator of mental health issues.
impacts,DifficultyRemembering,ImpConcentration,IRIMPREMEM,Difficulty remembering impacts concentration and focus.
impacts,DifficultyRemembering,ImpSocialInteraction,IRIMPREMEM,Difficulty remembering impacts social interactions.
impacts,DifficultyRemembering,ImpHouseholdActivities,IRIMPREMEM,Difficulty remembering impacts household activities.
impacts,DifficultyRemembering,ImpProfessionalActivities,IRIMPREMEM,Difficulty remembering impacts professional activities.
hasImpactOn,Difficulty_Remembering,Individual_Impact,IIIMPREMEM,Relationship indicating that the difficulty remembering has an impact on the individual.
withinTimePeriod,Difficulty_Remembering,Time_Period,IIIMPREMEM,Indicates that the difficulty remembering is considered within the past 12 months.
isAssociatedWith,DifficultyConcentrating,IMPCONCN,IRIMPCONCN,Difficulty concentrating for one or more months in the past 12 months is associated with IMPCONCN subgroup.
isAssociatedWith,DifficultyConcentrating,IMPGOUT,IRIMPCONCN,Difficulty concentrating for one or more months in the past 12 months is associated with IMPGOUT subgroup.
isAssociatedWith,DifficultyConcentrating,IMPGOUTM,IRIMPCONCN,Difficulty concentrating for one or more months in the past 12 months is associated with IMPGOUTM subgroup.
isAssociatedWith,DifficultyConcentrating,IMPHHLD,IRIMPCONCN,Difficulty concentrating for one or more months in the past 12 months is associated with IMPHHLD subgroup.
isAssociatedWith,DifficultyConcentrating,IMPHHLDM,IRIMPCONCN,Difficulty concentrating for one or more months in the past 12 months is associated with IMPHHLDM subgroup.
isAssociatedWith,DifficultyConcentrating,IMPPEOP,IRIMPCONCN,Difficulty concentrating for one or more months in the past 12 months is associated with IMPPEOP subgroup.
isAssociatedWith,DifficultyConcentrating,IMPPEOPM,IRIMPCONCN,Difficulty concentrating for one or more months in the past 12 months is associated with IMPPEOPM subgroup.
isAssociatedWith,DifficultyConcentrating,IMPREMEM,IRIMPCONCN,Difficulty concentrating for one or more months in the past 12 months is associated with IMPREMEM subgroup.
isAssociatedWith,DifficultyConcentrating,IMPRESP,IRIMPCONCN,Difficulty concentrating for one or more months in the past 12 months is associated with IMPRESP subgroup.
isAssociatedWith,DifficultyConcentrating,IMPRESPM,IRIMPCONCN,Difficulty concentrating for one or more months in the past 12 months is associated with IMPRESPM subgroup.
isAssociatedWith,DifficultyConcentrating,IMPSOC,IRIMPCONCN,Difficulty concentrating for one or more months in the past 12 months is associated with IMPSOC subgroup.
isA,DifficultyConcentrating,MentalHealthIssue,IIIMPCONCN,Difficulty concentrating is categorized under mental health issues.
hasSurveyPeriod,DifficultyConcentrating,Past12Months,IIIMPCONCN,The time reference for reporting difficulty concentrating is the past 12 months.
impairsConcentrationOver,DifficultyConcentrating,OneMonth,IIIMPCONCN,Indicates the duration (at least one month) over which concentration difficulty was experienced.
hasImpactOn,Individual,DifficultyGoingOut,IRIMPGOUT,Indicates an individual's difficulty going out due to impact.
isRelatedTo,DifficultyGoingOut,ImpactGoingOut,IMPGOUT,Relates difficulty going out to the general impact of going out.
isRelatedTo,DifficultyGoingOut,ImpactHousehold,IMPHHLD,Relates difficulty going out to the impact on household activities.
isRelatedTo,DifficultyGoingOut,ImpactPeople,IMPPEOP,Relates difficulty going out to the impact on interacting with people.
isRelatedTo,DifficultyGoingOut,ImpactRemembering,IMPREMEM,Relates difficulty going out to the impact on remembering things.
isRelatedTo,DifficultyGoingOut,ImpactResponsibilities,IMPRESP,Relates difficulty going out to the impact on managing responsibilities.
isRelatedTo,DifficultyGoingOut,ImpactSocial,IMPSOC,Relates difficulty going out to the impact on social life.
hasDifficulty,MentalHealth,DifficultyGoingOut,IIIMPGOUT,Relates mental health issues to the specific difficulty of going out experienced by the respondent.
measuredIn,DifficultyGoingOut,TimePeriod,IIIMPGOUT,Relates the difficulty in going out to the specific time period of the past 12 months.
surveyedPopulation,Survey,CivilianPopulation,IIIMPGOUT,"Identifies the civilian, noninstitutionalized population aged 12 or older in the United States as the surveyed population."
impactsAbilityTo,EmotionalProblem,LeaveHouse,IRIMPGOUTM,Emotional problems affecting individuals' ability to leave their house.
hasEffectOn,EmotionalProblems,ActivityRestriction,IIIMPGOUTM,Emotional problems impact the respondent's ability to leave the house.
experiencedBy,EmotionalProblems,Respondent,IIIMPGOUTM,The emotional problems are experienced by the respondent.
reportedBy,ActivityRestriction,Respondent,IIIMPGOUTM,"The restriction on activities, such as not being able to leave the house, is reported by the respondent."
hasTimePeriod,DifficultyDealingWithStrangers,TimePeriod,IRIMPPEOP,Relates the difficulty experienced by the respondent to the specific one month time period within the past twelve months.
belongsToCategory,DifficultyDealingWithStrangers,MentalHealthIssue,IRIMPPEOP,Indicates that difficulty dealing with strangers is a type of mental health issue.
hasTimeFrame,DifficultyDealingWithStrangers,TimeFrame,IIIMPPEOP,Relates the difficulty in dealing with strangers to the specified time frame
isIndicatorOf,DifficultyDealingWithStrangers,ImpairmentIndicator,IIIMPPEOP,Relates the difficulty in dealing with strangers as an indicator of impairment
affects,EmotionalProblemsImpact,SocialInteractionWithStrangers,IIIMPPEOPM,Describes how emotional problems influence the ability to deal with strangers.
belongsToCategory,EmotionalProblemsImpact,SurveyCategory,IIIMPPEOPM,Classifies the question under a specific category related to emotional problems and their social impact.
hasDifficultyInConcentration,Difficulty in Social Activities,Cognitive Impairment,IRIMPSOC,Relates difficulty in social activities due to cognitive impairment.
hasDifficultyInGoingOut,Difficulty in Social Activities,Going Out Difficulty,IRIMPSOC,Relates difficulty in social activities due to difficulty in going out.
hasModerateDifficultyInGoingOut,Difficulty in Social Activities,Going Out Difficulty Moderate,IRIMPSOC,Relates difficulty in social activities to moderate difficulty in going out.
hasDifficultyInHouseholdActivities,Difficulty in Social Activities,Household Activities Difficulty,IRIMPSOC,Relates difficulty in social activities to household activities difficulty.
hasModerateDifficultyInHouseholdActivities,Difficulty in Social Activities,Household Activities Difficulty Moderate,IRIMPSOC,Relates difficulty in social activities to moderate difficulty in household activities.
hasDifficultyInInteractingWithPeople,Difficulty in Social Activities,Interacting with People Difficulty,IRIMPSOC,Relates difficulty in social activities to interacting with people difficulty.
hasModerateDifficultyInInteractingWithPeople,Difficulty in Social Activities,Interacting with People Difficulty Moderate,IRIMPSOC,Relates difficulty in social activities to moderate difficulty in interacting with people.
hasDifficultyInRemembering,Difficulty in Social Activities,Remembering Difficulty,IRIMPSOC,Relates difficulty in social activities to remembering difficulty.
hasDifficultyInRespondingToStress,Difficulty in Social Activities,Responding to Stress Difficulty,IRIMPSOC,Relates difficulty in social activities to responding to stress difficulty.
hasModerateDifficultyInRespondingToStress,Difficulty in Social Activities,Responding to Stress Difficulty Moderate,IRIMPSOC,Relates difficulty in social activities to moderate difficulty in responding to stress.
isTypeOf,Difficulty in Social Activities,Social Activity Difficulty,IRIMPSOC,Indicates the type of social activity difficulty.
hasImpactOn,SocialActivityDifficulty,IndividualImpact,IIIMPSOC,Describes the relationship between social activity difficulties and their impact on the individual's life.
isPartOfMentalHealthAssessment,SocialActivityDifficulty,MentalHealth,IIIMPSOC,Indicates that social activity difficulties are a component of mental health assessment in the survey.
affects,Emotion,Social Activities,IRIMPSOCM,Emotional problems affecting participation in social activities.
experiencedBy,Mental Health,Respondent,IRIMPSOCM,Mental health condition experienced by the respondent.
impacts,Emotion,Mental Health,IRIMPSOCM,Emotional problems impacting mental health.
relatedTo,Mental Health,Social Activities,IRIMPSOCM,Mental health condition related to social activities.
impairs,EmotionalProblems,SocialActivity,IIIMPSOCM,Describes how emotional problems impair social activities.
reportedBy,EmotionalProblems,Respondent,IIIMPSOCM,Indicates the emotional problems are reported by the respondent.
characterizedBy,SocialActImpairment,ImpairmentIndicator,IIIMPSOCM,Impairment of social activity is characterized by impairment indicators.
hasImpactOn,MentalHealthImpact,HouseholdDifficulty,IRIMPHHLD,Relates the impact of mental health issues on fulfilling household responsibilities.
hasImpactOn,SubstanceUseImpact,HouseholdDifficulty,IRIMPHHLD,Relates the impact of substance use on fulfilling household responsibilities.
occursWithin,HouseholdDifficulty,TimePeriod,IRIMPHHLD,Relates the difficulty in household responsibilities to the past 12 months time period.
occursWithin,MentalHealthImpact,TimePeriod,IRIMPHHLD,Relates the impact of mental health issues to the past 12 months time period.
occursWithin,SubstanceUseImpact,TimePeriod,IRIMPHHLD,Relates the impact of substance use to the past 12 months time period.
hasDifficulty,Person,DifficultyHHLDResponsibility,IIIMPHHLD,Relates a person to their difficulty in handling household responsibilities due to impairment within the past 12 months.
hasImpactOn,EmotionalProblems,HouseholdResponsibilities,IRIMPHHLDM,Indicates that emotional problems may have an impact on one's ability to manage household responsibilities.
