entity,question_code,description
ReligiousBeliefs,SNRLDCSN,Personal religious beliefs of the respondent.
DecisionMaking,SNRLDCSN,The process of making decisions in the respondent's life.
ReligiousBeliefImportance,SNRLFRND,The importance of friends sharing the respondent's religious beliefs.
Friend,SNRLFRND,A companion of the respondent who may share religious beliefs.
Respondent,SNRLFRND,Individual responding to the survey.
EducationStatus,,Attendance at any type of school in the past 12 months.
SurveyPeriod,,The past 12 months.
SchoolType,,"Types of schools attended (elementary, junior high/middle school, high school, college/university, home schooling)."
HomeSchooling,,Status of being home-schooled at any time during the past 12 months.
EducationalStatus,,Type of education the respondent received in the past 12 months.
TimePeriod,,Specifies the past 12 months as the time period of interest.
SchoolingPerception,YESCHFLT,How the respondent felt about going to school in the past 12 months.
SurveyPeriod,YESCHFLT,The past 12 months period during which the survey is concerned.
SchoolWorkMeaningfulness,YESCHWRK,Represents how often respondents felt their school work was meaningful and important during the past 12 months.
TimePeriod,YESCHWRK,Represents the time span of the past 12 months.
Respondent,YESCHWRK,Individuals aged 12 or older answering the survey question.
EducationImportance,YESCHIMP,The perceived importance of things learned in school over the past 12 months.
SchoolLearning,YESCHIMP,The knowledge and skills acquired by the respondent in school during the past 12 months.
FutureImpact,YESCHIMP,The anticipated relevance of school learning to the respondent's future life.
Respondent,YESCHIMP,The person answering the survey questions.
SchoolCourseInterest,YESCHINT,Interest level of the respondent in their school courses over the past 12 months.
TimePeriod,YESCHINT,"The period over which the respondent is asked to consider their interest in school courses, specified as the past 12 months."
Respondent,YESCHINT,Individual providing answers about their interest in school courses.
TeacherFeedback,,Frequency of positive feedback received from teachers in the past 12 months
Student,,The respondent as a student receiving feedback
SchoolWork,,School work done by the student
GradesLastSemester,YELSTGRD,Respondent's grades for the last semester or grading period completed.
Respondent,YELSTGRD,The individual providing their grades for the last semester or grading period.
GradingPeriod,YELSTGRD,The specific semester or grading period that the grades pertain to.
BestFriendOffer,YECIGFRNDOF2,If one of your best friends offered you a cigarette.
WouldSmokeCigarette,YECIGFRNDOF2,Respondent's willingness to smoke a cigarette if offered by best friend.
YouthExperiences,YECIGFRNDOF2,Section of the survey focused on youth experiences.
NicotineUse,YECIGFRNDOF2,Relates to the use of nicotine products.
SmokingBehavior,YECIGNEXTYR2,Respondent's belief about smoking a cigarette in the next 12 months.
TimePeriod,YECIGNEXTYR2,The next 12 months from the time of survey.
Students,YESTSCIG,Students in the respondent's grade at school.
Smoking,YESTSCIG,The activity of smoking cigarettes.
School,YESTSCIG,The educational institution that the respondent is attending or would be attending if not home-schooled.
Grade,YESTSCIG,The grade level at school for the students referenced by the respondent.
Home-schooled,YESTSCIG,Refers to whether the respondent is home-schooled.
Students,YESTSMJ,Students in the same grade as the respondent.
MarijuanaUsage,YESTSMJ,Usage of marijuana or any cannabis product by students.
GradeLevel,YESTSMJ,Grade level of students.
Student,YESTSALC,Students in the same grade at school.
Alcohol,YESTSALC,Alcoholic beverages consumed by the students.
Student,YESTSDNK,A student in the respondent's grade at school.
AlcoholConsumption,YESTSDNK,"Alcohol consumption behavior, specifically getting drunk at least once a week."
GradeLevel,YESTSDNK,The grade level of the student at school.
Frequency,YESTSDNK,"Frequency of the behavior, specifically once a week in this context."
ParentsCheckingHomework,YEPCHKHW,Frequency of parents checking if homework has been done in the past 12 months.
Parents,YEPCHKHW,"Includes biological parents, adoptive parents, stepparents, or adult guardians living in the household."
TimePeriod,YEPCHKHW,The time period of the past 12 months.
HomeworkCheckFrequency,YEPCHKHW,How often homework checking occurred.
ParentalInvolvementHomework,YEPHLPHW,The involvement of parents in providing help with homework in the past 12 months.
SurveyPeriod,YEPHLPHW,"Time period in which the survey question is relevant, specifically the past 12 months."
MentalHealthSupport,YEPHLPHW,Parental help with homework as a form of support that can impact the mental health of the respondent.
Chores,YEPCHORE,Tasks or work done around the house.
Parents,YEPCHORE,Guardians or caregivers responsible for the respondent.
Frequency,YEPCHORE,Rate at which chores are assigned.
Past 12 Months,YEPCHORE,The time period of the last year in which the survey is interested.
Parent,,The respondent's parents.
TV_Time,,The amount of time spent watching TV.
Past_12_Months,,The time period of the past 12 months.
ParentalLimitations,YEPLMTSN,Frequency of parental limitations on time spent out with friends on school nights over the past 12 months.
Respondent,YEPLMTSN,Individual responding to the survey.
TimeSpentWithFriends,YEPLMTSN,Amount of time respondent spent with friends on school nights.
SchoolNights,YEPLMTSN,Nights preceding school days.
Past12Months,YEPLMTSN,Time frame of the past 12 months.
ParentalFeedback,YEPGDJOB,Frequency of parents giving positive feedback for doing a good job in the past 12 months.
TimePeriod,YEPGDJOB,"The time period of interest, which is the past 12 months in this case."
Respondent,YEPGDJOB,"The individual completing the survey, typically aged 12 or older."
ParentalApproval,YEPPROUD,The act of a parent expressing pride in their child for an accomplishment in the past 12 months.
TimePeriod,YEPPROUD,The past 12 months.
Frequency,YEPPROUD,How often the event occurred.
Youth,YEPPROUD,Individual aged 12 or older.
Respondent,YEYARGUP,The individual answering the survey.
Parent,YEYARGUP,The parent or parents of the respondent.
Argument,YEYARGUP,An instance of the respondent arguing or fighting with their parents.
SurveyTimePeriod,YEYARGUP,"The time frame over which the survey is concerned, here it is the past 12 months."
FightIncidence,YEYFGTSW,Incidence of getting into a serious fight at school or work.
TimePeriod,YEYFGTSW,Time period over the past 12 months.
Location,YEYFGTSW,Places where the fight occurred: school or work.
PhysicalAltercationParticipation,YEYFGTGP,Participation in a physical fight where a group of friends fought against another group.
GroupFightFrequency,YEYFGTGP,Frequency of taking part in a group fight over the past 12 months.
TimePeriod,YEYFGTGP,The past 12 months.
Respondent,YEYFGTGP,Individual responding to the survey.
HandgunCarrying,YEYHGUN,Instances of carrying a handgun in the past 12 months.
Respondent,YEYHGUN,The person answering the survey question.
SurveyPeriod,YEYHGUN,"The time frame during which the survey question applies, in this case, the past 12 months."
IllegalDrugSales,,The act of selling illegal drugs.
Frequency,,Number of times an action is performed within a specified period.
SurveyRespondent,,The individual providing responses to the survey questions.
TheftIncident,,Incident where the respondent stole or tried to steal something worth more than $50.
Value,,"Monetary value of the stolen or attempted to steal item, specifically worth more than $50."
TimePeriod,,"The time frame during which the events (theft or attempted theft) occurred, in this case, the past 12 months."
Action,YEYATTAK,Attacked someone with the intent to seriously hurt them
Frequency,YEYATTAK,Number of times the action occurred in the past 12 months
TimePeriod,YEYATTAK,Past 12 months
Respondent,YEYATTAK,Person answering the survey
Respondent,YEPPKCIG,The individual answering the survey question.
Parents,YEPPKCIG,The parents of the individual answering the survey.
Smoking,YEPPKCIG,The act of smoking cigarettes.
Cigarettes,YEPPKCIG,"Tobacco product being smoked, specifically one or more packs per day."
Parental Attitude,YEPPKCIG,Parental feelings or attitudes towards the respondent smoking one or more packs of cigarettes per day.
Health Risk Perception,YEPPKCIG,The perception of health risks associated with smoking as understood by the respondent or inferred based on parental attitude.
ParentalPerception,YEPMJEVR,How parents would feel about the respondent trying marijuana or any cannabis product.
SubstanceUse,YEPMJEVR,Usage of marijuana or any cannabis product.
Respondent,YEPMJEVR,Person answering the survey.
Parents,YEPMJMO,Parents of the respondent.
Respondent,YEPMJMO,Individual answering the survey question.
Cannabis,YEPMJMO,Marijuana or any cannabis product.
How_Parents_Would_Feel,YEPALDLY,Respondent's perception of their parents' feelings about the respondent drinking alcoholic beverages nearly every day.
Alcohol_Consumption_Daily,YEPALDLY,Frequency of drinking one or two alcoholic beverages nearly every day.
Parents,YEPALDLY,Parents of the respondent.
AgeGroup,YEGPKCIG,Age group of the respondent or person considered in the response.
Cigarette,YEGPKCIG,A unit of tobacco product considered in the question.
CigaretteConsumption,YEGPKCIG,The act of smoking one or more packs of cigarettes per day.
Perception,YEGPKCIG,Respondent's perception or feeling about the scenario described in the question.
AgeGroup,YEGMJEVR,Reference to the respondent's age group.
Opinion,YEGMJEVR,The respondent's feelings or attitude.
Substance,YEGMJEVR,Specific substance mentioned - Marijuana/Cannabis.
UsageFrequency,YEGMJEVR,Frequency of use - once or twice.
MarijuanaUsePerception,YEGMJMO,Perception of marijuana use frequency by peers of the respondent's age.
Peer,YEGMJMO,Individuals who are of the same age as the respondent.
Marijuana,YEGMJMO,The substance referred to in the question.
UsageFrequency,YEGMJMO,Monthly or more frequent use of marijuana.
AlcoholUse,YEGALDLY,Refers to the daily consumption of one or two alcoholic beverages.
RespondentAgeComparison,YEGALDLY,Comparison of the respondent's age to the age of the person drinking alcohol daily.
AttitudeTowardsDrinking,YEGALDLY,Attitude of the respondent about daily alcohol consumption by someone of their age.
FriendsFeelings,YEFPKCIG,Friends' feelings about respondent smoking one or more packs of cigarettes a day.
RespondentSmokingBehavior,YEFPKCIG,The behavior of the respondent regarding smoking one or more packs of cigarettes a day.
Friends,YEFMJEVR,Close friends of the respondent.
MarijuanaUse,YEFMJEVR,The use of marijuana or any cannabis product.
MarijuanaUsePerception,YEFMJMO,Perception of close friends' feelings about respondent using marijuana or any cannabis product once a month or more.
CloseFriends,YEFMJMO,Close friends of the respondent.
Respondent,YEFMJMO,Respondent of the survey.
CloseFriends,YEFALDLY,Close friends of the respondent
AlcoholConsumptionDaily,YEFALDLY,Consuming one or two alcoholic drinks nearly every day
TalkAboutSeriousProblems,YETLKNON,Respondent has nobody to talk to about serious problems.
TalkAboutSeriousProblems,YETLKPAR,Respondent talks to parent about serious problems.
TalkAboutSeriousProblems,YETLKBGF,Respondent talks to boyfriend/girlfriend about serious problems.
TalkAboutSeriousProblems,YETLKOTA,Respondent talks to other people about serious problems.
TalkAboutSeriousProblems,YETLKSOP,Respondent talks to someone else about serious problems.
Mother,YETLKPAR,Mother of the respondent.
Father,YETLKPAR,Father of the respondent.
Guardian,YETLKPAR,Guardian of the respondent.
Problem,YETLKPAR,A serious problem that the respondent wants to talk about.
Respondent,YETLKPAR,The person answering the survey.
Boyfriend/Girlfriend,YETLKBGF,Identifies if the respondent would turn to their boyfriend/girlfriend to talk about a serious problem.
Person_to_Talk_to,"YETLKPAR, YETLKBGF, YETLKOTA, YETLKSOP","Indicates the persons the respondent could turn to for talking about a serious problem, which includes parent, boyfriend/girlfriend, others, and no one."
Respondent,YETLKOTA,Individual participating in the survey answering about whom they would turn to when serious problems arise.
Adult,YETLKOTA,A person who could be approached by the Respondent for discussing serious problems.
SeriousProblem,YETLKOTA,A significant issue that the respondent may need to talk about.
TalkPartner,YETLKSOP,Some other person who can be talked to about a serious problem.
Respondent,YETLKSOP,Individual participating in the survey.
SeriousProblem,YETLKSOP,Issue considered serious by the respondent.
Substance_Danger_Communication,YEPRTDNG,"Discussion with parents or guardians about the dangers of tobacco, alcohol, or drug use."
Time_Period,YEPRTDNG,The past 12 months.
Parent,YEPRTDNG,"Biological parents, adoptive parents, stepparents, or adult guardians."
Tobacco,YEPRTDNG,A substance discussed in the context of dangers.
Alcohol,YEPRTDNG,A substance discussed in the context of dangers.
Drug,YEPRTDNG,A substance discussed in the context of dangers.
Participation,YEPRBSLV,"Participation in a problem-solving, communication skills, or self-esteem group."
TimePeriod,YEPRBSLV,The past 12 months.
MentalHealthIntervention,YEPRBSLV,"Problem-solving, communication skills, or self-esteem group."
Participation,YEVIOPRV,Participation in a violence prevention program.
ViolencePreventionProgram,YEVIOPRV,A program where participants learn ways to avoid fights and control anger.
TimePeriod,YEVIOPRV,The time period of the past 12 months.
DrugPreventionProgramOutsideSchool,YEDGPRGP,"Participation in an alcohol, tobacco, or drug prevention program outside of school."
TimePeriod,YEDGPRGP,Past 12 months.
PreventionTopics,YEDGPRGP,"Topics include learning about the dangers of using, and how to resist using, alcohol, tobacco, or drugs."
ParticipationInProgram,YESLFHLP,Participation in a program or meeting to address drug or alcohol use.
AlcoholicsAnonymous,YESLFHLP,Reference to Alcoholics Anonymous as a support organization.
Alateen,YESLFHLP,Reference to Alateen as a support organization.
IndividualCounseling,YESLFHLP,Reference to individual counseling sessions.
GroupCounseling,YESLFHLP,Reference to group counseling sessions.
TimePeriod,YESLFHLP,Past 12 months.
DrugOrAlcoholUse,YESLFHLP,Usage of drugs or alcohol by the respondent or a family member.
FamilyMember,YESLFHLP,Reference to another member of the respondent's family.
PregnancyPreventionPrograms,YEPRGSTD,Programs focused on preventing pregnancy.
STDPreventionPrograms,YEPRGSTD,Programs focused on preventing sexually transmitted diseases.
Participation,YEPRGSTD,Participation status in prevention programs during the past 12 months.
TimePeriod,YEPRGSTD,The past 12 months.
SurveyParticipant,YEPRGSTD,The respondent or participant in the survey.
School-BasedActivitiesParticipation,YESCHACT,Number of different kinds of school-based activities participated in during the past 12 months.
TeamSports,YESCHACT,Participation in team sports as a school-based activity.
Cheerleading,YESCHACT,Participation in cheerleading as a school-based activity.
Choir,YESCHACT,Participation in choir as a school-based activity.
Band,YESCHACT,Participation in band as a school-based activity.
StudentGovernment,YESCHACT,Participation in student government as a school-based activity.
Clubs,YESCHACT,Participation in clubs as a school-based activity.
CommunityBasedActivities,YECOMACT,"Different kinds of community-based activities, such as volunteer activities, sports, clubs, or groups."
ParticipationFrequency,YECOMACT,Frequency of participation in community-based activities during the past 12 months.
FaithBasedActivity,YEFAIACT,"Church or faith-based activities such as clubs, youth groups, Saturday or Sunday school, prayer groups, youth trips, service or volunteer activities."
SurveyRespondent,YEFAIACT,An individual participating in the survey.
ParticipationFrequency,YEFAIACT,Number of different kinds of church or faith-based activities a respondent participated in during the past 12 months.
SurveyPeriod,YEFAIACT,"The specific time frame referred to in the question, in this case, the past 12 months."
PastYearActivitiesParticipation,YEOTHACT,"Number of different other activities participated in during the past 12 months, including dance lessons, piano lessons, karate lessons, or horseback riding lessons."
ActivityType,YEOTHACT,"Types of activities mentioned such as dance lessons, piano lessons, karate lessons, or horseback riding lessons."
SpecialClassAboutDrugsOrAlcohol,YEDECLAS,A special class about drugs or alcohol.
Past12Months,YEDECLAS,The time period referring to the past 12 months.
School,YEDECLAS,The institution where the class was conducted.
YEDERGLR,,"Question code for whether the respondent had films, lectures, discussions, or printed information about drugs or alcohol in a regular school class."
RegularSchoolClass,,Refers to regular school classes such as health or physical education.
InformationType,,"Type of substance-related information, including films, lectures, discussions, or printed materials."
Substance,,Drugs or alcohol.
Education,,Relates to the educational context where the information was provided.
FilmLectureDiscussionInfo,YEDESPCL,"Films, lectures, discussions, or printed information about drugs or alcohol outside of regular classes."
SurveyPeriod,YEDESPCL,The past 12 months.
SpecialAssembly,YEDESPCL,Special assembly or event outside of regular classes where information about drugs or alcohol is provided.
SubstancePreventionMessage,YEPVNTYR,Messages related to alcohol or drug prevention.
Medium,YEPVNTYR,"Medium through which prevention messages are communicated, such as posters, pamphlets, radio, or TV."
TimePeriod,YEPVNTYR,The past 12 months.
Location,YEPVNTYR,Sources outside school.
ReligiousServiceAttendance,YERLGSVC,Frequency of attending religious services in the past 12 months.
TimePeriod,YERLGSVC,Past 12 months.
SpecialOccasions,YERLGSVC,"Events such as weddings, funerals, or other special events not included."
ReligiousBeliefs,YERLGIMP,The importance of religious beliefs in an individual's life.
Individual,YERLGIMP,The respondent to the NSDUH survey.
Response,YERLGIMP,The level of agreement with the statement regarding the importance of religious beliefs.
ReligiousBeliefs,YERLDCSN,Your religious beliefs
Decisions,YERLDCSN,The decisions made in life
ReligiousBeliefs,YERLFRND,Your religious beliefs.
Friends,YERLFRND,Individuals considered as friends by the respondent.
Importance,YERLFRND,The value or significance placed on a particular aspect.
Respondent,YERLFRND,Individual answering the survey questions.
Youth,YUSUITHK,Respondent aged 12 or older.
SuicidalThoughts,YUSUITHK,Thoughts about trying to kill oneself.
TimePeriod,YUSUITHK,"Past 12 months, from [DATEFILL] up to and including today."
COVID-19 Pandemic,YUCOSUITHK,Global pandemic caused by the COVID-19 virus.
Youth,YUCOSUITHK,Individuals aged 12 or older who are part of the survey population.
Serious Thought about Killing Self,YUCOSUITHK,Consideration or contemplation of suicide.
Long Description,YUCOSUITHK,Was this because of the COVID-19 pandemic?
SuicidePlan,YUSUIPLN,The act of planning to kill oneself during the past 12 months.
TimePeriod,YUSUIPLN,"The timeframe during which the respondent is asked about their suicide plans, specifically the past 12 months."
MentalHealth,YUSUIPLN,"The general category encompassing aspects of an individual's mental well-being, which includes but is not limited to plans to kill oneself."
SuicidePlanDueToCOVID,YUCOSUIPLN,Youth made a plan to kill themselves due to COVID-19.
COVID-19Pandemic,YUCOSUIPLN,The COVID-19 pandemic is referenced as a potential cause for the plan to kill oneself.
Youth,YUCOSUIPLN,Respondents aged 12 to 17.
SchoolAttendanceFeeling,SCHFELT,How the respondent felt about going to school in the past year.
Youth,SCHFELT,"The demographic group of the respondent, specifically youths aged 12 or older."
Teacher,TCHGJOB,A teacher or educational figure in the respondent's life.
Youth,TCHGJOB,"The respondent, a young individual, age 12 or older."
Affirmation,TCHGJOB,Positive feedback or praise given by a teacher.
AverageGrade,AVGGRADE,The average grade of the respondent for the last grading period completed.
Substance,,Cigarettes as a substance.
Group,,Group of individuals being surveyed.
Demographic,,Age demographic targeted by the question.
Activity,,Action of smoking cigarettes.
MarijuanaUse,STNDSMJ,Recoded variable indicating marijuana use among students in the youth grade.
Students,STNDSMJ,Youth grade students who are surveyed for marijuana use.
Alcohol_Consumption,STNDALC,This entity focuses on the consumption of alcoholic beverages.
Students,STNDALC,This entity represents students in a youth grade.
DrunkFrequency,STNDDNK,Frequency at which students in the youth grade get drunk once a week.
YouthGrade,STNDDNK,The grade level of students.
SubstanceUse,STNDDNK,The use of substances like alcohol leading to drunkenness.
RecodedVariables,STNDDNK,Variables in this section that have been recoded from one or more of the edited variables from the preceding section.
Parents,PARCHKHW,The individuals responsible for the child’s welfare at home.
Homework,PARCHKHW,School assignments meant to be completed outside regular class hours.
TimePeriod,PARCHKHW,The past year.
HomeWorkHelp,PARHLPHW,Parental involvement in helping with homework in the past year.
ParentalInvolvement,PARHLPHW,The extent of parental involvement in their children's education.
EducationSupport,PARHLPHW,"Support provided for education, which includes parental help with homework."
Parent,,The parent of the youth respondent.
Youth,,The youth respondent.
Chores,,Household tasks or duties.
Recoded Variable,,A variable that has been recoded from one or more edited variables.
Parents,PRLMTTV2,Refers to the respondents' parents or guardians.
Television,PRLMTTV2,Refers to TV watching habits or constraints.
Limitation,PRLMTTV2,Refers to the restrictions imposed by parents.
Past Year,PRLMTTV2,Refers to the time period in question (past year).
ParentalControl,PARLMTSN,Whether parents limit the time a respondent is out on a school night in the past year.
SchoolNightActivity,PARLMTSN,Activities or behavior of the respondent on a school night.
TimePeriod,PARLMTSN,The past year as the time frame for assessing parental control.
Parents,PRGDJOB2,Individuals who have parental responsibility over the respondent.
Youth,PRGDJOB2,"Respondent who is a youth, typically aged 12 to 17, being evaluated in the survey."
Positive Reinforcement,PRGDJOB2,Instances where parents tell the youth they had done a good job in the past year.
ParentalPride,PRPROUD2,Frequency of parents telling youth that they are proud of their accomplishments in the past year.
Youth,PRPROUD2,Individual aged 12 or older.
ParentalAffection,PRPROUD2,Expression of pride from parents towards their children.
ArgumentOrFight,ARGUPAR,Instances of arguments or fights with one parent in the past year.
Parent,ARGUPAR,The parent who had an argument or fight with the respondent.
PastYear,ARGUPAR,The time period in which the argument or fight occurred.
Youth,YOFIGHT2,Represents a youth respondent.
SeriousFight,YOFIGHT2,Indicates whether the youth had a serious fight at school or work.
School,YOFIGHT2,Represents a school where the serious fight might have taken place.
Work,YOFIGHT2,Represents a workplace where the serious fight might have taken place.
YouthGroupFight,YOGRPFT2,Indicates whether a youth has fought with another group.
RecodedVariable,YOGRPFT2,A recoded variable created from one or more of the edited variables from the preceding section.
Youth,YOGRPFT2,Youth participant in the survey.
Fighting,YOGRPFT2,Involves physical altercations or fighting among youth.
HandgunPossession,YOHGUN2,Indicates whether the youth respondent carried a handgun.
Youth,YOHGUN2,The respondent who is a youth.
IllegalDrugSaleYouth,,Indicates whether the respondent has sold illegal drugs.
RecodedVariable,,A variable that has been derived from one or more edited variables.
Youth,YOSTOLE2,Individual aged 12 or older in the United States.
TheftIncident,YOSTOLE2,Incident of stealing or attempting to steal an item worth more than $50.
Item,YOSTOLE2,An item worth more than $50.
RecodedVariable,YOSTOLE2,A recoded variable created from one or more edited variables from a previous section.
YouthAttackIntentHarm,,Indicator if the youth was attacked with intent to seriously harm.
Youth,,The respondent identified as youth.
IntentToHarm,,Intent to seriously harm the respondent.
Behavioral Attitude,PRPKCIG2,Parents' feelings about youth smoking a pack of cigarettes per day.
Perception,PRPKCIG2,Youth's perception of their parents' attitude towards smoking.
Youth,PRPKCIG2,Individual aged 12 or older being surveyed.
Recoded Variable,PRPKCIG2,Variable created from one or more edited variables from the preceding section.
Substance Use (Tobacco),PRPKCIG2,Consumption of tobacco in the form of cigarettes.
ParentalAttitude,PRMJEVR2,Parents' attitudes towards their children trying marijuana.
Youth,PRMJEVR2,Youth individuals questioned in the survey.
Substance,PRMJEVR2,"Marijuana, as a specific substance being referred to in the question."
ParentalAttitudeTowardsYouthMarijuanaUse,PRMJMO,Respondent's perception of how their parents feel about youth using marijuana monthly.
YouthMarijuanaUse,PRMJMO,Youth using marijuana on a monthly basis.
ParentalOpinion,PRMJMO,Parents' opinion about youth using marijuana.
RecodedVariable,PRMJMO,Variable created from one or more edited variables.
Peers,YFLPKCG2,The peers or friends of the respondent.
Smoking,YFLPKCG2,The act of consuming cigarettes.
CigarettesPerDay,YFLPKCG2,The number of cigarette packs smoked per day.
YouthFeelings,YFLPKCG2,The feelings or perceptions of the respondent regarding their peers' smoking habits.
PeerInfluenceOnSubstanceUse,YFLTMRJ2,Youth's perception of peer pressure to use marijuana.
Marijuana,YFLTMRJ2,A substance referred to in the context of peer influence on youth.
Youth,YFLTMRJ2,"Individuals aged 12 or older in the civilian, noninstitutionalized population."
Youth,YFLMJMO,Respondent who is underage.
Peer,YFLMJMO,Individuals within the same age group or social circle as the respondent.
MarijuanaUsage,YFLMJMO,Frequency of marijuana usage.
MonthlyUsage,YFLMJMO,Frequency of usage on a monthly basis.
YouthPerception,YFLADLY2,How the youth feels about peers drinking 1-2 alcoholic beverages per day.
AlcoholConsumption,YFLADLY2,Peers' consumption of 1-2 alcoholic beverages per day.
RecodedVariable,YFLADLY2,A variable created from one or more edited variables from the preceding section.
Youth,FRDPCIG2,Youths aged 12 or older.
Friend,FRDPCIG2,Close friend of the youth.
Friend_Opinion_on_Smoking,FRDPCIG2,Close friend's feelings about youth smoking one or more packs of cigarettes daily.
Smoking_Habit,FRDPCIG2,Youth smoking one or more packs of cigarettes daily.
CloseFriends,FRDMEVR2,Category of friends whose opinions are being assessed.
Youth,FRDMEVR2,Younger individuals who are the focus of the question.
Marijuana,FRDMEVR2,The substance being discussed in the context of use by youth.
Perception,FRDMEVR2,The perspective or opinion of the friends on youth trying marijuana.
Marijuana,FRDMJMON,Represents the substance 'Marijuana' as referenced in the question content.
Friend,FRDMJMON,Represents the social entity 'Friend' whose opinions are being queried.
Youth,FRDMJMON,Represents the demographic group 'Youth' which is the subject of the question.
Opinion,FRDMJMON,Represents the opinions or perceptions of friends about marijuana use.
MonthlyUsage,FRDMJMON,Represents the frequency of marijuana use on a monthly basis.
Close Friend's Perception,,Perception of close friend about youth having 1-2 alcoholic drinks per day.
Alcohol Consumption,,Youth's daily consumption of 1-2 alcoholic drinks.
Youth,,Individual aged 12 or older in the survey.
Recoded Variable,,Derived variable created from one or more edited variables.
Youth,TALKPROB,Respondents aged 12-17.
Parent/Guardian,YETLKPAR,Parent or guardian that youth talks to about serious problems.
Boyfriend/Girlfriend,YETLKBGF,Boyfriend or girlfriend that youth talks to about serious problems.
Other Adults,YETLKOTA,Other adults that youth talks to about serious problems.
Other Person,YETLKSOP,Other persons that youth talks to about serious problems.
No One,YETLKNON,Youth does not talk to anyone about serious problems.
PRTALK3,PRTALK3,"Talked with parent about the dangers of tobacco, alcohol, and drugs"
Youth,PRTALK3,Respondents aged 12 to 17 years
Parent/Guardian,YETLKPAR,Youth would talk with parent/guardian about serious problems
Boyfriend/Girlfriend,YETLKBGF,Youth would talk with boyfriend/girlfriend about serious problems
Other Adults,YETLKOTA,Youth would talk with other adults about serious problems
Some Other Person,YETLKSOP,Youth would talk with another person about serious problems
No One,YETLKNON,Youth would not talk with anyone about serious problems
System Missing,99,Code for respondents over the age of 17 or invalid responses
GroupParticipation,PRBSOLV2,"Participation in problem-solving, community skill, or self-esteem group"
Youth,PRBSOLV2,"Individuals aged 12 or older in the civilian, non-institutionalized population"
ProblemTalkSource,PRBSOLV2,Source of support for youths regarding serious problems
ParentGuardian,YETLKPAR,Parent or guardian as a source of support
BoyfriendGirlfriend,YETLKBGF,Boyfriend or girlfriend as a source of support
OtherAdult,YETLKOTA,Other adult individuals as a source of support
OtherPerson,YETLKSOP,Some other person as a source of support
NoOne,YETLKNON,No one as a source of support
SystemMissing,PRBSOLV2,System missing data for respondents who did not report or were aged over 17
Violence Prevention Program Participation,PREVIOL2,Participation in violence prevention program.
Youth,PREVIOL2,Persons aged 12 to 17 years.
Contact About Serious Problems,PREVIOL2,Individuals youths would talk with about serious problems.
Parent/Guardian,PREVIOL2,Category of person youths may talk to about serious problems (YETLKPAR).
Boyfriend/Girlfriend,PREVIOL2,Category of person youths may talk to about serious problems (YETLKBGF).
Other Adults,PREVIOL2,Category of person youths may talk to about serious problems (YETLKOTA).
Some Other Person,PREVIOL2,Category of person youths may talk to about serious problems (YETLKSOP).
No One,PREVIOL2,Youth does not talk to anyone about serious problems (YETLKNON).
Substance_Prevention_Program,PRVDRGO2,Participation in a substance prevention program outside of school.
Youth,PRVDRGO2,"Youths aged 12 or older within the civilian, noninstitutionalized population in the United States."
Serious_Problems_Talk_Source,YETLKPAR,Parents or guardians as a source for youths to talk about serious problems.
Serious_Problems_Talk_Source,YETLKBGF,Boyfriend or girlfriend as a source for youths to talk about serious problems.
Serious_Problems_Talk_Source,YETLKOTA,Other adults as a source for youths to talk about serious problems.
Serious_Problems_Talk_Source,YETLKSOP,Some other person as a source for youths to talk about serious problems.
Serious_Problems_Talk_Source,YETLKNON,No one as a source for youths to talk about serious problems.
Youth_Response,PRVDRGO2,Youth's response concerning participation in substance prevention programs.
PreventionProgramParticipation,PREGPGM2,Participation in a pregnancy/STD prevention program.
Youth,PREGPGM2,Youths participating in the survey related to serious problems discussions.
PreventionProgram,PREGPGM2,Program focused on pregnancy/STD prevention.
InformationSource,PREGPGM2,Sources of who youths would talk with about serious problems.
NoOne,PREGPGM2,Youth report of talking to no one about serious problems (YETLKNON).
ParentGuardian,PREGPGM2,Youth report of talking to a parent or guardian about serious problems (YETLKPAR).
BoyfriendGirlfriend,PREGPGM2,Youth report of talking to a boyfriend or girlfriend about serious problems (YETLKBGF).
OtherAdults,PREGPGM2,Youth report of talking to other adults about serious problems (YETLKOTA).
SomeOtherPerson,PREGPGM2,Youth report of talking to some other person about serious problems (YETLKSOP).
YouthActivityParticipation,YTHACT2,Participation in various youth activities by youth respondents.
SchoolBasedActivity,YESCHACT,Participation in school-based activities.
CommunityBasedActivity,YECOMACT,Participation in community-based activities.
ChurchFaithBasedActivity,YEFAIACT,Participation in church or faith-based activities.
OtherActivity,YEOTHACT,Participation in other types of activities.
NoneOrOneActivity,YTHACT2,Youth respondents who participated in either zero or one activity.
TwoOrMoreActivities,YTHACT2,Youth respondents who participated in two or more activities.
PreventionMessageExposure,DRPRVME3,The exposure of youth to alcohol or drug prevention messages outside school.
YouthActivity,DRPRVME3,"Activities in which youth participate, including school-based, community-based, church/faith-based, or other activities."
YouthParticipationCategory,DRPRVME3,Category of youth participation in activities: 'Two or more activities' or 'None or one activity'.
DrugOrAlcoholEducation,ANYEDUC3,Youth's participation in drug or alcohol education in school.
YouthActivity,ANYEDUC3,"Summary of youth activities including school-based, community-based, church or faith-based, or other activities."
ActivityCategory,ANYEDUC3,Categorization based on the number of activities: 'Two or more activities' or 'None or one activity'.
